MLSNumber, Street, City, BR, Bath, Footage, Price, PriceSqFt, County, Zone, Source, Date, URL
1069319, 1502 Goldsmith, Santa Maria, 4, 4, 4118, 789000, 191.59786304031084, SB, 0, 1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069319
1062829, 3231 Live Oak, Santa Ynez, 3, 2, 2300, 1395000, 606.5217391304348, SB, 0, 1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1062829
1065153, 1247 Hans Park, Solvang, 3, 3, 2168, 799900, 368.95756457564573, SB, 0, 1, 10/24/16, http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1065153
1072067,  5995 Rocky Canyon,  Atascadero, 3, 3, 2316, 949000, 409.75820379965455,  SLO, 3, 0,  October 16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072067
1072012,  2950 Burton,  Cambria, 2, 2, 946, 419000, 442.9175475687104,  SLO, 0, 0,  October 16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072012
1072123,  1455 Primavera,  Nipomo, 3, 2, 1668, 599900, 359.65227817745796,  SLO, 0, 0,  October 16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072123
1072112,  1385 Diablo,  San Luis Obispo, 2, 2, 1513, 590000, 389.9537343027098,  SLO, 1, 0,  October 16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072112
1072122,  1380 Diablo,  San Luis Obispo, 3, 3, 2044, 689000, 337.08414872798437,  SLO, 1, 0,  October 16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072122
1072099,  551 Stoneridge,  San Luis Obispo, 3, 3, 2355, 779000, 330.7855626326964,  SLO, 1, 0,  October 16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072099
1069936,  151 Avenida De Diamante,  Arroyo Grande, 3, 3, 2482, 953900, 384.3271555197421,  SLO, 2, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069936
1070265,  185 Andre,  Arroyo Grande, 4, 4, 3199, 1250000, 390.7471084713973,  SLO, 2, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070265
1068237,  9215 North Forty,  Atascadero, 4, 4, 5323, 1088000, 204.39601728348674,  SLO, 3, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068237
1070427,  5350 Hillcrest,  Cambria, 3, 2, 2259, 675000, 298.80478087649396,  SLO, 0, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070427
1069458,  425 B,  Lompoc, 4, 2, 1328, 326900, 246.15963855421685,  SB, 0, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069458
1071241,  454 Yerba Buena,  Morro Bay, 2, 2, 942, 569000, 604.0339702760085,  SLO, 1, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071241
1070008,  1831 Nathan,  Nipomo, 3, 3, 2812, 759000, 269.91465149359885,  SLO, 0, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070008
1066669,  101 Out Of Area,  Out Of Area, 3, 5, 6071, 999000, 164.55279196178552,  Other, 0, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1066669
1071306,  1639 Summer Creek,  Paso Robles, 3, 2, 1430, 398500, 278.6713286713287,  SLO, 4, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071306
1071891,  1133 Linda,  Paso Robles, 3, 2, 1344, 415000, 308.77976190476187,  SLO, 4, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071891
1071446,  428 Appaloosa,  Paso Robles, 3, 2, 1470, 417500, 284.01360544217687,  SLO, 4, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071446
1070728,  6015 Burgandy,  Paso Robles, 3, 3, 2065, 489000, 236.8038740920097,  SLO, 4, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070728
1071643,  1231 Longview,  Pismo Beach, 3, 4, 2048, 1097000, 535.64453125,  SLO, 2, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071643
1071030,  1519 Canyon,  Santa Maria, 3, 2, 1943, 369000, 189.9125064333505,  SB, 0, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071030
1067497,  1231 Via Alta,  Santa Maria, 4, 2, 1288, 374900, 291.07142857142856,  SB, 0, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1067497
1070127,  1830 Laurel,  Solvang, 4, 3, 1264, 595000, 470.7278481012658,  SB, 0, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070127
1070740,  1550 Post Canyon,  Templeton, 5, 4, 3773, 999000, 264.7760402862444,  SLO, 3, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070740
1067662,  3535 Blackhawk,  Templeton, 6, 5, 5542, 1335000, 240.8877661494045,  SLO, 3, 1,  10/23/16,  http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1067662
1072121,   1613 Ramona,   Grover Beach, 2, 2, 1060, 309000, 291.50943396226415,   SLO, 2, 0,   October 16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072121
1072107,   3456 Via Cortez,   Lompoc, 3, 2, 1222, 284900, 233.14238952536823,   SB, 0, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072107
1072101,   529 Zanzibar,   Morro Bay, 2, 2, 960, 670000, 697.9166666666665,   SLO, 1, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072101
1072108,   1655 Trilogy,   Nipomo, 2, 4, 2007, 860000, 428.5002491280519,   SLO, 0, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072108
1072103,   22 Via Santa Barbara,   Paso Robles, 2, 2, 1760, 235000, 133.52272727272728,   SLO, 4, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072103
1072092,   6232 Merlot,   Paso Robles, 4, 2, 1516, 439900, 290.1715039577836,   SLO, 4, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072092
1072102,   2250 King,   San Luis Obispo, 2, 2, 1256, 443900, 353.42356687898086,   SLO, 1, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072102
1072104,   1123 Via Asueto,   Santa Maria, 2, 2, 1440, 59900, 41.59722222222222,   SB, 0, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072104
1072105,   260 Prescott,   Santa Maria, 2, 1, 768, 299900, 390.49479166666674,   SB, 0, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072105
1072045,   436 Calle Bonita,   Santa Maria, 2, 2, 1284, 324900, 253.03738317757006,   SB, 0, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072045
1072011,   534 Northpoint,   Santa Maria, 4, 3, 1580, 325000, 205.69620253164558,   SB, 0, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072011
1072109,   529 College,   Santa Maria, 4, 2, 1368, 335000, 244.88304093567245,   SB, 0, 0,   October 15,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1072109
