,MLSNumber,Street,City,Price,BR,Bath,Footage,PricePerSqft,Zipcode
241,1071611,11622 Cardelina,Atascadero,349000,3,3,1468.0,237.7384196185286,93422
242,1071612,10025 El Camino Real,Atascadero,89000,2,2,1152.0,77.25694444444444,93422
243,1071613,1116 E,Lompoc,406000,4,2,1700.0,238.8235294117647,93436
244,1071614,1620 Concord,Santa Maria,299500,3,2,1392.0,215.15804597701148,93454
245,1071615,5525 Capistrano,Atascadero,169800,1,1,640.0,265.3125,93422
246,1071616,828 Cooper,Lompoc,415000,3,3,2028.0,204.63510848126234,93436
247,1071984,1682 Laguna,Grover Beach,1078000,3,3,3280.0,328.6585365853659,93433
248,1071620,231 Irish,Pismo Beach,654000,4,2,1732.0,377.59815242494227,93449
249,1071621,2698 Sherwood,Cambria,925000,3,2,1173.0,788.5763000852515,93428
250,1071625,973 Bent Tree,Santa Maria,157000,3,2,1440.0,109.02777777777777,93455
251,1071626,3860 Higuera,San Luis Obispo,135000,2,2,1000.0,135.0,93401
252,1067095,2461 Grand,Los Olivos,1050000,4,4,2275.0,461.53846153846155,93441
253,1071628,6470 Cambria Pines,Cambria,2199000,5,7,6000.0,366.5,93428
254,1072898,22675 J,Santa Margarita,499900,3,2,1640.0,304.8170731707317,93422
255,1071630,445 Tyrus,Nipomo,465000,3,2,1266.0,367.29857819905214,93444
256,1071631,1557 Canyon Creek,Santa Maria,499000,4,3,2373.0,210.28234302570587,93455
257,1071632,7500 San Gregorio,Atascadero,799000,4,3,2170.0,368.2027649769585,93422
258,1070168,4541 Coachman,Santa Maria,527000,4,3,2632.0,200.22796352583586,93455
259,1067538,780 Willow,Nipomo,1110000,7,6,4845.0,229.10216718266253,93444
260,1072899,1226 Main,Cambria,129000,2,2,684.0,188.59649122807016,93428
261,1069589,1154 Santa Ysabel,Los Osos,550000,3,2,1208.0,455.29801324503313,93402
262,1065494,3274 Wintergreen,San Luis Obispo,469863,2,3,1305.0,360.048275862069,93401
263,1065495,3286 Lavender,San Luis Obispo,587470,4,4,2150.0,273.2418604651163,93401
264,1071640,2916 Birch,Morro Bay,429000,2,1,626.0,685.3035143769968,93442
265,1071641,410 Turtle Creek,Paso Robles,353000,2,2,1361.0,259.36811168258635,93446
266,1071642,1020 Chapel,Santa Maria,495000,5,4,20908.0,23.67514826860532,93458
267,1071643,1231 Longview,Pismo Beach,1097000,3,4,2048.0,535.64453125,93449
268,1071644,9780 Las Lomas,Atascadero,229500,2,2,928.0,247.30603448275863,93422
269,1071648,2221 King,San Luis Obispo,449900,2,2,1192.0,377.43288590604027,93401
270,1071649,156 Auriga,Lompoc,379000,3,2,1864.0,203.32618025751074,93436
271,1071650,1035 Ford,Nipomo,599999,3,2,1584.0,378.78724747474746,93444
272,1071652,3492 Via Arnez,Lompoc,279900,3,2,1222.0,229.05073649754502,93436
273,1069605,4410 Upper Lopez Canyon,Arroyo Grande,345000,1,1,720.0,479.1666666666667,93420
274,1071655,1518 Las Brisas,Paso Robles,439000,3,2,1475.0,297.6271186440678,93446
275,1069608,1327 Woodmere,Santa Maria,379500,3,2,1538.0,246.74902470741222,93455
276,1071657,5715 Santa Cruz,Atascadero,70000,3,2,1152.0,60.763888888888886,93422
277,1071658,916 Oak,Lompoc,329000,4,2,1480.0,222.2972972972973,93436
278,1071659,6615 Highway 246,Lompoc,1295000,4,3,2700.0,479.6296296296296,93436
279,1071660,4330 Camp 8,Creston,799000,2,2,1212.0,659.2409240924093,93446
280,1071661,516 Canterbury,Cambria,1128000,3,4,2838.0,397.4630021141649,93428
